fid,id,left,top,right,bottom,SAMPLE_1
"1",84,666401.1777,1130642.0518,671401.1777,1125642.0518,-1710.98303222656
"2",85,666401.1777,1125642.0518,671401.1777,1120642.0518,-1729.98657226562
"3",97,671401.1777,1155642.0518,676401.1777,1150642.0518,-1729.98657226562
"4",99,671401.1777,1145642.0518,676401.1777,1140642.0518,-1729.98657226562
"5",101,671401.1777,1135642.0518,676401.1777,1130642.0518,-1824.73315429688
"6",103,671401.1777,1125642.0518,676401.1777,1120642.0518,-1729.98657226562
"7",104,671401.1777,1120642.0518,676401.1777,1115642.0518,-1710.98303222656
"8",118,676401.1777,1140642.0518,681401.1777,1135642.0518,-1710.98303222656
"9",122,676401.1777,1120642.0518,681401.1777,1115642.0518,-1729.98657226562
"10",137,681401.1777,1135642.0518,686401.1777,1130642.0518,-1748.97131347656
"11",139,681401.1777,1125642.0518,686401.1777,1120642.0518,-1748.97131347656
"12",157,686401.1777,1125642.0518,691401.1777,1120642.0518,-1710.98303222656
"13",158,686401.1777,1120642.0518,691401.1777,1115642.0518,-1710.98303222656
"14",170,691401.1777,1150642.0518,696401.1777,1145642.0518,-1691.9599609375
"15",173,691401.1777,1135642.0518,696401.1777,1130642.0518,-1786.88647460938
"16",175,691401.1777,1125642.0518,696401.1777,1120642.0518,-1748.97131347656
"17",177,691401.1777,1115642.0518,696401.1777,1110642.0518,-1729.98657226562
"18",188,696401.1777,1150642.0518,701401.1777,1145642.0518,-1748.97131347656
"19",189,696401.1777,1145642.0518,701401.1777,1140642.0518,-1748.97131347656
"20",191,696401.1777,1135642.0518,701401.1777,1130642.0518,-1710.98303222656
"21",193,696401.1777,1125642.0518,701401.1777,1120642.0518,-1729.98657226562
"22",205,701401.1777,1155642.0518,706401.1777,1150642.0518,-1786.88647460938
"23",206,701401.1777,1150642.0518,706401.1777,1145642.0518,-1710.98303222656
"24",210,701401.1777,1130642.0518,706401.1777,1125642.0518,-1805.81811523438
"25",211,701401.1777,1125642.0518,706401.1777,1120642.0518,-1748.97131347656
"26",222,706401.1777,1160642.0518,711401.1777,1155642.0518,-1729.98657226562
"27",223,706401.1777,1155642.0518,711401.1777,1150642.0518,-1748.97131347656
"28",226,706401.1777,1140642.0518,711401.1777,1135642.0518,-1710.98303222656
"29",228,706401.1777,1130642.0518,711401.1777,1125642.0518,-1748.97131347656
"30",242,711401.1777,1150642.0518,716401.1777,1145642.0518,-1729.98657226562
"31",243,711401.1777,1145642.0518,716401.1777,1140642.0518,-1729.98657226562
"32",245,711401.1777,1135642.0518,716401.1777,1130642.0518,-1729.98657226562
"33",247,711401.1777,1125642.0518,716401.1777,1120642.0518,-1748.97131347656
"34",248,711401.1777,1120642.0518,716401.1777,1115642.0518,-1672.91638183594
"35",258,716401.1777,1160642.0518,721401.1777,1155642.0518,-1710.98303222656
"36",260,716401.1777,1150642.0518,721401.1777,1145642.0518,-1691.9599609375
"37",261,716401.1777,1145642.0518,721401.1777,1140642.0518,-1729.98657226562
"38",263,716401.1777,1135642.0518,721401.1777,1130642.0518,-1691.9599609375
"39",264,716401.1777,1130642.0518,721401.1777,1125642.0518,-1710.98303222656
"40",266,716401.1777,1120642.0518,721401.1777,1115642.0518,-1729.98657226562
"41",275,721401.1777,1165642.0518,726401.1777,1160642.0518,-1710.98303222656
"42",280,721401.1777,1140642.0518,726401.1777,1135642.0518,-1710.98303222656
"43",284,721401.1777,1120642.0518,726401.1777,1115642.0518,-1767.93774414062
"44",285,721401.1777,1115642.0518,726401.1777,1110642.0518,-1710.98303222656
"45",292,726401.1777,1170642.0518,731401.1777,1165642.0518,-1748.97131347656
"46",294,726401.1777,1160642.0518,731401.1777,1155642.0518,-1691.9599609375
"47",295,726401.1777,1155642.0518,731401.1777,1150642.0518,-1710.98303222656
"48",297,726401.1777,1145642.0518,731401.1777,1140642.0518,-1748.97131347656
"49",300,726401.1777,1130642.0518,731401.1777,1125642.0518,-1729.98657226562
"50",301,726401.1777,1125642.0518,731401.1777,1120642.0518,-1729.98657226562
"51",310,731401.1777,1170642.0518,736401.1777,1165642.0518,-1710.98303222656
"52",312,731401.1777,1160642.0518,736401.1777,1155642.0518,-1710.98303222656
"53",314,731401.1777,1150642.0518,736401.1777,1145642.0518,-1786.88647460938
"54",315,731401.1777,1145642.0518,736401.1777,1140642.0518,-1805.81811523438
"55",317,731401.1777,1135642.0518,736401.1777,1130642.0518,-1729.98657226562
"56",319,731401.1777,1125642.0518,736401.1777,1120642.0518,-1748.97131347656
"57",328,736401.1777,1170642.0518,741401.1777,1165642.0518,-1729.98657226562
"58",330,736401.1777,1160642.0518,741401.1777,1155642.0518,-1767.93774414062
"59",333,736401.1777,1145642.0518,741401.1777,1140642.0518,-1862.51586914062
"60",335,736401.1777,1135642.0518,741401.1777,1130642.0518,-1710.98303222656
"61",337,736401.1777,1125642.0518,741401.1777,1120642.0518,-1767.93774414062
"62",345,741401.1777,1175642.0518,746401.1777,1170642.0518,-1691.9599609375
"63",347,741401.1777,1165642.0518,746401.1777,1160642.0518,-1710.98303222656
"64",348,741401.1777,1160642.0518,746401.1777,1155642.0518,-1729.98657226562
"65",352,741401.1777,1140642.0518,746401.1777,1135642.0518,-1748.97131347656
"66",362,746401.1777,1180642.0518,751401.1777,1175642.0518,-1729.98657226562
"67",364,746401.1777,1170642.0518,751401.1777,1165642.0518,-1710.98303222656
"68",368,746401.1777,1150642.0518,751401.1777,1145642.0518,-1767.93774414062
"69",370,746401.1777,1140642.0518,751401.1777,1135642.0518,-1786.88647460938
"70",371,746401.1777,1135642.0518,751401.1777,1130642.0518,-1729.98657226562
"71",372,746401.1777,1130642.0518,751401.1777,1125642.0518,-1729.98657226562
"72",384,751401.1777,1160642.0518,756401.1777,1155642.0518,-1748.97131347656
"73",385,751401.1777,1155642.0518,756401.1777,1150642.0518,-1729.98657226562
"74",388,751401.1777,1140642.0518,756401.1777,1135642.0518,-1729.98657226562
"75",390,751401.1777,1130642.0518,756401.1777,1125642.0518,-1729.98657226562
"76",401,756401.1777,1165642.0518,761401.1777,1160642.0518,-1691.9599609375
"77",403,756401.1777,1155642.0518,761401.1777,1150642.0518,-1748.97131347656
"78",405,756401.1777,1145642.0518,761401.1777,1140642.0518,-1748.97131347656
"79",407,756401.1777,1135642.0518,761401.1777,1130642.0518,-1729.98657226562
"80",419,761401.1777,1165642.0518,766401.1777,1160642.0518,-1672.91638183594
"81",423,761401.1777,1145642.0518,766401.1777,1140642.0518,-1710.98303222656
"82",425,761401.1777,1135642.0518,766401.1777,1130642.0518,-1748.97131347656
"83",426,761401.1777,1130642.0518,766401.1777,1125642.0518,-1729.98657226562
"84",438,766401.1777,1160642.0518,771401.1777,1155642.0518,-1767.93774414062
"85",439,766401.1777,1155642.0518,771401.1777,1150642.0518,-1805.81811523438
"86",440,766401.1777,1150642.0518,771401.1777,1145642.0518,-1767.93774414062
"87",442,766401.1777,1140642.0518,771401.1777,1135642.0518,-1748.97131347656
"88",453,771401.1777,1175642.0518,776401.1777,1170642.0518,-1710.98303222656
