fid,id,left,top,right,bottom,SAMPLE_1
"1",84,666401.1777,1130642.0518,671401.1777,1125642.0518,0.492063015699387
"2",85,666401.1777,1125642.0518,671401.1777,1120642.0518,0.452202886343002
"3",97,671401.1777,1155642.0518,676401.1777,1150642.0518,0.489532679319382
"4",99,671401.1777,1145642.0518,676401.1777,1140642.0518,0.446019798517227
"5",101,671401.1777,1135642.0518,676401.1777,1130642.0518,0.362646013498306
"6",103,671401.1777,1125642.0518,676401.1777,1120642.0518,0.412666290998459
"7",104,671401.1777,1120642.0518,676401.1777,1115642.0518,0.528847277164459
"8",118,676401.1777,1140642.0518,681401.1777,1135642.0518,0.465871304273605
"9",122,676401.1777,1120642.0518,681401.1777,1115642.0518,0.506006181240082
"10",137,681401.1777,1135642.0518,686401.1777,1130642.0518,0.408071786165237
"11",139,681401.1777,1125642.0518,686401.1777,1120642.0518,0.390592277050018
"12",157,686401.1777,1125642.0518,691401.1777,1120642.0518,0.497665733098984
"13",158,686401.1777,1120642.0518,691401.1777,1115642.0518,0.439633160829544
"14",170,691401.1777,1150642.0518,696401.1777,1145642.0518,0.47722128033638
"15",173,691401.1777,1135642.0518,696401.1777,1130642.0518,0.418980091810226
"16",175,691401.1777,1125642.0518,696401.1777,1120642.0518,0.481777995824814
"17",177,691401.1777,1115642.0518,696401.1777,1110642.0518,0.493571132421494
"18",188,696401.1777,1150642.0518,701401.1777,1145642.0518,0.372999310493469
"19",189,696401.1777,1145642.0518,701401.1777,1140642.0518,0.450585693120956
"20",191,696401.1777,1135642.0518,701401.1777,1130642.0518,0.240266963839531
"21",193,696401.1777,1125642.0518,701401.1777,1120642.0518,0.452461153268814
"22",205,701401.1777,1155642.0518,706401.1777,1150642.0518,0.449240773916245
"23",206,701401.1777,1150642.0518,706401.1777,1145642.0518,0.463472694158554
"24",210,701401.1777,1130642.0518,706401.1777,1125642.0518,0.393507868051529
"25",211,701401.1777,1125642.0518,706401.1777,1120642.0518,0.452341049909592
"26",222,706401.1777,1160642.0518,711401.1777,1155642.0518,0.467100113630295
"27",223,706401.1777,1155642.0518,711401.1777,1150642.0518,0.473415672779083
"28",226,706401.1777,1140642.0518,711401.1777,1135642.0518,0.408474177122116
"29",228,706401.1777,1130642.0518,711401.1777,1125642.0518,0.445418626070023
"30",242,711401.1777,1150642.0518,716401.1777,1145642.0518,0.510879874229431
"31",243,711401.1777,1145642.0518,716401.1777,1140642.0518,0.538138270378113
"32",245,711401.1777,1135642.0518,716401.1777,1130642.0518,0.468120545148849
"33",247,711401.1777,1125642.0518,716401.1777,1120642.0518,0.454184502363205
"34",248,711401.1777,1120642.0518,716401.1777,1115642.0518,-0.0419483222067356
"35",258,716401.1777,1160642.0518,721401.1777,1155642.0518,0.476826995611191
"36",260,716401.1777,1150642.0518,721401.1777,1145642.0518,0.576549649238586
"37",261,716401.1777,1145642.0518,721401.1777,1140642.0518,0.51625394821167
"38",263,716401.1777,1135642.0518,721401.1777,1130642.0518,0.0580097772181034
"39",264,716401.1777,1130642.0518,721401.1777,1125642.0518,-0.0330734401941299
"40",266,716401.1777,1120642.0518,721401.1777,1115642.0518,0.415038079023361
"41",275,721401.1777,1165642.0518,726401.1777,1160642.0518,0.49630942940712
"42",280,721401.1777,1140642.0518,726401.1777,1135642.0518,0.47924143075943
"43",284,721401.1777,1120642.0518,726401.1777,1115642.0518,0.437372982501984
"44",285,721401.1777,1115642.0518,726401.1777,1110642.0518,0.453251332044601
"45",292,726401.1777,1170642.0518,731401.1777,1165642.0518,0.487319260835648
"46",294,726401.1777,1160642.0518,731401.1777,1155642.0518,0.51539158821106
"47",295,726401.1777,1155642.0518,731401.1777,1150642.0518,0.501365959644318
"48",297,726401.1777,1145642.0518,731401.1777,1140642.0518,0.468120545148849
"49",300,726401.1777,1130642.0518,731401.1777,1125642.0518,0.486641705036163
"50",301,726401.1777,1125642.0518,731401.1777,1120642.0518,0.43460875749588
"51",310,731401.1777,1170642.0518,736401.1777,1165642.0518,0.47023406624794
"52",312,731401.1777,1160642.0518,736401.1777,1155642.0518,0.478749126195908
"53",314,731401.1777,1150642.0518,736401.1777,1145642.0518,0.562518894672394
"54",315,731401.1777,1145642.0518,736401.1777,1140642.0518,0.418980151414871
"55",317,731401.1777,1135642.0518,736401.1777,1130642.0518,0.527117729187012
"56",319,731401.1777,1125642.0518,736401.1777,1120642.0518,0.446838438510895
"57",328,736401.1777,1170642.0518,741401.1777,1165642.0518,0.486994832754135
"58",330,736401.1777,1160642.0518,741401.1777,1155642.0518,0.43648025393486
"59",333,736401.1777,1145642.0518,741401.1777,1140642.0518,0.38326022028923
"60",335,736401.1777,1135642.0518,741401.1777,1130642.0518,0.51317834854126
"61",337,736401.1777,1125642.0518,741401.1777,1120642.0518,0.438802093267441
"62",345,741401.1777,1175642.0518,746401.1777,1170642.0518,0.510699272155762
"63",347,741401.1777,1165642.0518,746401.1777,1160642.0518,0.548977792263031
"64",348,741401.1777,1160642.0518,746401.1777,1155642.0518,0.523775577545166
"65",352,741401.1777,1140642.0518,746401.1777,1135642.0518,0.551660001277924
"66",362,746401.1777,1180642.0518,751401.1777,1175642.0518,0.487947732210159
"67",364,746401.1777,1170642.0518,751401.1777,1165642.0518,0.520044267177582
"68",368,746401.1777,1150642.0518,751401.1777,1145642.0518,0.517524063587189
"69",370,746401.1777,1140642.0518,751401.1777,1135642.0518,0.482253104448318
"70",371,746401.1777,1135642.0518,751401.1777,1130642.0518,0.525025367736816
"71",372,746401.1777,1130642.0518,751401.1777,1125642.0518,0.50909686088562
"72",384,751401.1777,1160642.0518,756401.1777,1155642.0518,0.49630942940712
"73",385,751401.1777,1155642.0518,756401.1777,1150642.0518,0.507000386714935
"74",388,751401.1777,1140642.0518,756401.1777,1135642.0518,0.486994832754135
"75",390,751401.1777,1130642.0518,756401.1777,1125642.0518,0.541698515415192
"76",401,756401.1777,1165642.0518,761401.1777,1160642.0518,0.517845213413239
"77",403,756401.1777,1155642.0518,761401.1777,1150642.0518,0.494983673095703
"78",405,756401.1777,1145642.0518,761401.1777,1140642.0518,0.519035816192627
"79",407,756401.1777,1135642.0518,761401.1777,1130642.0518,0.510016620159149
"80",419,761401.1777,1165642.0518,766401.1777,1160642.0518,0.534286975860596
"81",423,761401.1777,1145642.0518,766401.1777,1140642.0518,0.494983673095703
"82",425,761401.1777,1135642.0518,766401.1777,1130642.0518,0.430165886878967
"83",426,761401.1777,1130642.0518,766401.1777,1125642.0518,0.490846872329712
"84",438,766401.1777,1160642.0518,771401.1777,1155642.0518,0.418980091810226
"85",439,766401.1777,1155642.0518,771401.1777,1150642.0518,0.408406436443329
"86",440,766401.1777,1150642.0518,771401.1777,1145642.0518,0.393027365207672
"87",442,766401.1777,1140642.0518,771401.1777,1135642.0518,0.492311209440231
"88",453,771401.1777,1175642.0518,776401.1777,1170642.0518,0.489532679319382
"89",455,771401.1777,1165642.0518,776401.1777,1160642.0518,0.378921210765839
"90",456,771401.1777,1160642.0518,776401.1777,1155642.0518,0.403128147125244
